"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2569832.325","2625698.328","3351955.414","3910614.491","1340782.12290503","1620111.73184357","1843575.41899441","1620111.73184358","608938.547486034","1083798.88268156","1335195.53072626","1329608.93854749","273743.016759777","1458100.55865922","819846.096273242","1036166.00246323","5195530.72625699","6759776.53631285","9050279.32960894","4972067.03910614","5307262.5698324","4860335.19553072","58146742.3052803","58627995.0761846","53640100.5182244","52684335.9800863","56140485.0473226","36920295.448098","34264018.270972","34984040.4172566","35845637.1605112","38279493.4539565","",
"Africa Eastern and Southern","AFE","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","22659994.129","22638212.209","30732321.74","28418270.11","48835701.251","222109242.720739","248793852.6014","357418043.2027","411297570.0943","555940080.136955","878786379.366747","1071196790.14716","1321885468.73806","1532407268.89389","1361742075.69333","1093022947.74146","989016132.36497","1416188048.26552","1462145055.12959","1737838422.78678","1651896839.82535","1626667942.35962","1816978652.42244","1616569779.53017","1920518109.84645","2018399025.2664","1729240917.21705","2375641194.21369","2519054550.15132","2697573266.34114","2604068623.33186","1998851126.77586","2342595416.42209","2880425018.77975","3711097135.80359","3400278043.75367","3885941885.74894","4637984122.54291","5637712569.23838","6529049381.66971","7855160215.3759","9436898043.35454","9539966159.23928","9473590190.5201","10621779870.3317","10968477849.2785","10180486149.7754","10674896563.0748","14835474479.6933","14432400963.4807","13803671379.8988","16967027104.5809","18416126748.9378","",
"Afghanistan","AFG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","89540435.95","140695166.3","378206657.0181","179116561.3764","219416087.481463","347165291.814146","253367821.603343","348624717.302647","627710802.377386","822731630.245558","803546453.786557","828571904.111179","788917115.24523","320000000","370000000","",
"Africa Western and Central","AFW","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","60248103.621","139998419.4905","170825509.34","245958070.792796","305453695.325976","380800574.373617","518917396.006397","463998938.087109","364134025.475593","359196532.097039","311697347.224401","409886754.140209","552424634.557576","579776508.040475","634503545.906633","637025980.609591","711095246.729455","744048879.499604","875127137.257942","1524387332.41443","1198252979.46882","1033892975.77836","1087241699.12112","1278708492.84991","1186080345.45208","2081216505.88553","2197264227.37598","2085343579.15916","2286595770.44209","2635146673.88301","4102042871.08094","16722662965.16","19409694975.2072","21099158358.1649","22797325933.2786","21884173259.2057","23801903316.9751","27623774681.5467","27691377000.3324","28076823908.16","29072581838.8663","31217369941.6298","28389901690.1416","31601716352.8826","34564118509.7106","34978100385.4353","29228222419.8632","32711580058.9369","35202834148.0921","",
"Angola","AGO","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5142000","","","","","","","","","0","0","0","82084000","162358.5","17972037","204751.1","40348853.9894801","36637411.3401682","30971119.270778","11114711.6","3988048.38","1418195.84","1579247.15","3445473.46759301","8053050.89441933","12631149.3197743","14005491.4763133","",
"Albania","ALB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151800000","332000000","307100000","427300000","550900000","300300000","504140000","407200000","597800000","699300000","733570000","888748582.309638","1160672105.01954","1289704315.92613","1359467324.66364","1468020000","1865581563.70359","1717698012.16514","1586574271.35641","1552078514.34036","1419772515.43027","1281848113.75308","1421007454.36595","1290863508.09402","1306009166.92504","1311822432.138","1458210055.85311","1472812241.61037","1465987212.49097","1718355918.32179","1745245135.76651","",
"Andorra","AND","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21100000","47416323.7388305","53001417.7730525","0","",
"Arab World","ARB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","211000000","238000000","247719978.33","269739208.22","276823417.66","966117778.4155","1355695710.451","2637034422.268","4405529374.2231","5563872498.035","6403246145.362","5907729369.142","5862270293.564","7173076350.713","7371483942.2029","6449093710.8198","6277412014.418","7601042249.332","7479027555.62","6950298994.67","9699913088.511","9774454435.2","12849686881.67","11791714150.847","10391224182.095","10655741100.1554","10697809478.2324","11492129404.3258","11922113928.7621","11621826045.419","11476946812.593","12851715141.7269","15829429504.1508","20315498457.1518","23393335357.452","22640992844.8193","24459749069.3236","29515131560.3516","33884270767.9805","31754690364.7879","37780646734.5291","38944864662.4978","45933616316.8183","47228856824.5072","53122149553.083","49328023741.0255","48657414274.7084","55456160366.1304","57983898243.8833","60423937850.7278","63089576499.3162","72182822103.6318","69294549734.7224","",
"United Arab Emirates","ARE","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","26000000","42000000","56000000","42000000","28000000","28000000","32000000","27000000","32000000","34000000","30280000.69","26559999.47","22840000.15","19120000.84","15399999.62","57700000.76","62400001.53","63600000","65000000","65700000","68500000","64300000","86343658.5898822","189600000","206630000","273420000","311780000","432090000","540635441.916292","606498926.517186","705144403.358363","628542376.088907","644300740.057192","697379575.129916","577532962.100773","535004409.367289","505346891.730357","494433532.139966","391579047.663514","479937459.808431","522441503.008565","561398444.719758","648090050.021815","901123183.017933","1267449071.25346","",
"Armenia","ARM","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71350000","153730000","228986400","166647970","182652132","182160000","209240000","263890000","335860000","787519510.008093","915231161.780943","1169173062.59984","1644375090.62217","1904067122.6008","1439809231.68406","1669336819.11366","1798624692.26173","1914983996.61627","2192193826.94676","2078618314.80089","1491475903.47047","1382330886.59828","1538655751.77642","1487814907.95282","1527937456.87278","1327006085.34023","1556822543.94877","2034814437.27609","",
"American Samoa","ASM","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","11185185.43","11744444.85","12337037.09","13196296.69","12533333.78","3048148.155","2714814.901","11629630.09","11948147.77","3333333.254","8940740.74074074","9537037.03703704","18755555.5555555","18394444.4444444","17342962.962963","23676666.6666667","14242166.6666667","16372237.0370371","17601625.9259259","29018120.692389","29202071.8774934","30352179.8027457","29719238.8318998","27817357.2998099","28924211.8034622","29296532.4395496","29845308.1734269","29967174.278059","31849221.567761","31244412.2632378","26705675.6457208","24020044.3490542","32768265.3234986","36875282.1086838","36220490.9834502","45265850.3993532","34810853.8808347","",
"Australia","AUS","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","180320037.8","176046508.8","228958923.3","280555023.2","308759124.8","286614196.8","305269104","326544830.3","415642852.8","495797180.2","631592773.4","740711547.9","771140441.9","900273193.4","956123474.1","1009029114","1053348999","1396266846","1884704224","2402261230","2369583740","2484919434","1926091797","1101867798","1276966675","438888326.43968","517894423.709037","538747822.17049","501585257.221363","531812423.752442","518334052.870813","486744685.823923","465722533.977934","651572145.062106","824729101.175224","940407766.641077","1014841490.87417","1341851616.34835","1526025147.3275","1334648952.60383","1864472761.35169","2449287569.05191","2440634974.57651","2461137536.76136","2329656676.96023","2174651380.40477","2056844753.41069","2001928453.24729","1867930551.38816","1762645594.80965","1197283915.031","936423063.167017","1307030458.6425","",
"Austria","AUT","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","16576923.37","24760213.85","36248191.83","52594650.27","80947891.24","87247398.38","105288040.2","118988021.9","154029663.1","198398651.1","244725067.1","223906967.2","220660125.7","214508590.7","197660034.2","201390884.4","303058471.7","400337341.3","448963897.7","469524231","634832336.4","772377197.3","815280883.8","768971069.3","844941223.1","1012422485","984293640.1","915090698.2","1416633179","1809788330","1804517334","1774000488","1985329834","2496145508","2520989014","2313507128.00776","2517171820.75859","2915622151.61598","3189808742.62739","3101681748.75588","2983488445.59884","3250804925.70344","3028188698.98571","3261505683.9693","3239901778.63492","2863606817.4052","2887576591.28188","2956934245.82416","3022591419.43224","2996058679.89715","3026771045.59774","3201021423.80953","2999848702.27274","",
"Azerbaijan","AZE","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000000","4098000.05","5196000.099","6294000","54492000","57132000","104125000","163317000","155957000","203578000","623235000","790214000","1267735000","1518327000","1254645000","1410296000","1893080000","1990180000","1733168000","1846424000","1269964000","643148000","1133371000","1225790000","1275168754.82216","1403087000","1526636000","3950029000","",
"Burundi","BDI","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41783.9949132528","71562.1616149131","11470.9717731824","189948.940546266","3645216.67747847","28232147.7562549","34498929.5130741","45463176.8704967","46433649.08889","48639473.8999705","56262591.4320072","51041087.2628532","31276058.24476","33725358.649667","48328631.779466","48328631.779466","48328631.779466","48328631.779466","48328631.779466","",
"Belgium","BEL","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","662297424.3","658915466.3","754823120.1","956470520","1041822876","1139075073","948875671.4","837334533.7","848768920.9","780039001.5","817282897.9","1098416260","1275191284","1430124512","2736618164","3583137695","3972553223","4475618164","4580757324","4612880859","4936722168","4947035645","4328916992","4204201172","4466878906","4004603516","3933338623","4534638939.10999","5778136096.27102","6562530149.38673","6884305723.77046","7268884910.03939","8991846090.58459","10479068216.8072","11090651436.729","10993669270.2742","11728548904.613","11171452382.4131","11695085497.9929","12161003266.0421","10464912315.3811","10786360682.2729","11435497317.079","12448569091.0714","12330095211.5259","12940698638.5776","14063253460.606","13428017139.2857","",
"Benin","BEN","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","7382490.635","17591100.69","28039279.94","39181098.94","56236076.35","72921585.08","77002243.04","62006073","36949996.95","43845420.84","42065956.12","40288208.01","50822120.67","60225616.46","71116760.25","91336494.45","101049423.2","117970527.6","136306823.7","108893981.9","89481948.85","98932296.362212","84917981.8711026","70106471.1259591","89178475.7128406","75026904.5400656","85876253.1152284","83064161.1242547","76107818.0196352","55401177.0875582","63117010.2701726","146939347.933076","195673786.140392","240793733.393634","207863209.389345","126457222.338888","139569120.486052","172185775.345679","207763555.185996","248800533.682456","304659173.440494","214449579.452891","221726214.973562","195776833.870766","198742396.0148","216993145.183503","204623916.545632","230914333.08778","230705590.914253","",
"Burkina Faso","BFA","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","35940307.62","47654621.12","51023120.88","60147422.79","78074638.37","109669143.7","150431030.3","153360977.2","110302223.2","113213974","90237777.71","125921798.7","191625381.5","173280075.1","187028152.5","155259277.3","139672851.6","112967811.6","128813964.8","117222412.1","80346946.72","78178306.58","76009666.44","73841026.31","71672386.17","69503746.03","67335105.9","49915523.53","58734134.67","53747390.75","44417327.88","56664819.5959556","67996281.7810241","84436174.1346809","99742143.2004595","96373875.8623851","120462189.137398","221068018.694094","209980744.386756","308469520.206762","396308040.732104","384985616.449515","397373892.542271","416839243.101534","455650092.233639","467251841.7327","524608104.841885","570950968.580105","570950968.580105","",
"Bangladesh","BGD","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","18761274.34","78875038.15","115435371.4","171138702.4","338666748","381052154.5","526463684.1","642408508.3","500747406","502471374.5","576282470.7","747808898.9","763622131.3","757979553.2","778865600.6","769365722.7","911759948.7","1007375061","1150881226","1201664266.51586","1344661208.65883","1526499543.77216","1605786652.44555","1806794191.65168","1967528858.46792","2104551469.14176","2858057770.42652","3191664732.05594","3583817227.52373","4314502845.76468","5427515428.7338","6562316321.90849","8940611606.37691","10520653005.6389","10850211617.3056","12071073184.1576","14119627033.9854","13866954019.3967","14987531478.7427","15295536094.8351","13574285886.2473","13501933032.7097","15566241930.3078","18363859531.2812","21751646479.1935","22205503377.12","21505473781.2512","",
"Bulgaria","BGR","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41500000","50600000","50675833.2425631","42528019.7653899","58235451.3536032","826200309.55945","1176951496.86156","1718485429.27941","1722769584.63433","1612912427.00584","1716435980.56618","1693553171.13885","1918650334.46895","1591794627.63678","1332910000","1483190000","1448880000","1666960000","1684740000","1494740000","1665570000","2193590000","2408230000","2342370000","2059500000","1977520000","2033320000","",
"Bahrain","BHR","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bahamas, The","BHS","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50805711","53040600","57888000","",
"Bosnia and Herzegovina","BIH","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1984050244.41406","1872783885.77068","1580952510.81787","1500016856.77626","1495729518.77171","1738096326.07414","2053201662.45907","2037731948.23597","2148940834.02539","2686415541.12783","2717663874.22993","2127033059.49894","1822304847.02471","1958230199.62974","1845715376.70009","1957987470.1827","2107139724.56893","1801111957.91248","1845995097.12476","2016872694.94044","2262876954.49906","2332570551.4136","1931039749.05507","2477948499.81385","2581262139.02977","",
"Belarus","BLR","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400000.006","400000.006","28500000","93300000","46500000","53900000","62000000","114200000","67200000","80600000","164100000","239400000","198600000","268200000","288300000","583300000","503800000","575300000","890600000","1053100000","1213500000","1231300000","931500000","976600000","1253800000","1445800000","1418800000","1013700000","1149960674.08","1465139529","",
"Belize","BLZ","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","17750000","21049999.24","24399999.62","19350000.38","16950000.76","21950000.76","18450000.76","15600000.38","19750000","16500000","12968000.41","13896500","17250000","22700000","23400000","24416904.32","24868381","28397885.2124741","26836163.7211132","32151079.7313914","33650128.5408451","44693322.844602","63811950.7870625","73119263.1866794","76489003.3131695","78578401.6029387","78134569.5922123","75323553.8226013","75945646.6882625","74401710.3702047","80334417.6238619","84744074.5377817","96671006.6813063","90214516.2971224","92512738.7840346","96816750.1184866","120683619.417896","135359896.997178","142416852.72081","",
"Bermuda","BMU","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1182490000","1450138212.08335","1390779867.42441","1346066952.36915","1261415800.63611","1175291441.14365","1190775526.82694","1224886398.23913","1335682709.83224","1445391571.511","1445943330.07813","1505955305.05222","1446756401.43","1547229197.94004","1574100922.76201","1655608129.09726","1799598534.0445","",
