merged_dataset
Year,Country Name,Disaster Subgroup,Disaster Type,Country Code_x,Subregion,Total Deaths,No. Injured,No. Affected,"Total Damage, Adjusted ('000 US$)",Country Code_y,Value
1970,Morocco,Hydrological,Flood,MAR,Northern Africa,11.0,3.0,266441.0,235442.0,MAR,0.0
1970,Peru,Hydrological,Flood,PER,Latin America and the Caribbean,3.0,50.0,131000.0,40810.0,PER,0.0
1970,Niger,Biological,Epidemic,NER,Sub-Saharan Africa,319.0,47.0,2677.0,131603.0,NER,0.0
1970,Philippines,Geophysical,Earthquake,PHL,South-eastern Asia,14.0,200.0,10000.0,131603.0,PHL,0.0
1970,Cyprus,Biological,Epidemic,CYP,Western Asia,15.0,47.0,10000.0,131603.0,CYP,0.0
1970,Ethiopia,Biological,Epidemic,ETH,Sub-Saharan Africa,500.0,47.0,4000.0,131603.0,ETH,0.0
1970,China,Geophysical,Earthquake,CHN,Eastern Asia,10000.0,47.0,10000.0,131603.0,CHN,0.0
1970,Argentina,Hydrological,Flood,ARG,Latin America and the Caribbean,36.0,47.0,10000.0,196202.0,ARG,0.0
1970,France,Hydrological,Mass movement (wet),FRA,Western Europe,42.0,37.0,10000.0,131603.0,FRA,0.0
1970,Madagascar,Meteorological,Storm,MDG,Sub-Saharan Africa,70.0,47.0,10000.0,89468.0,MDG,0.0
1970,Switzerland,Hydrological,Mass movement (wet),CHE,Western Europe,30.0,47.0,48.0,131603.0,CHE,0.0
1970,Colombia,Hydrological,Flood,COL,Latin America and the Caribbean,15.0,47.0,4000.0,392.0,COL,0.3611933598
1970,Panama,Hydrological,Flood,PAN,Latin America and the Caribbean,48.0,500.0,3500.0,117721.0,PAN,0.0
1970,Ecuador,Hydrological,Flood,ECU,Latin America and the Caribbean,20.0,47.0,140500.0,3924.0,ECU,0.0
1970,Costa Rica,Hydrological,Flood,CRI,Latin America and the Caribbean,23.0,40.0,10000.0,47088.0,CRI,0.0
1970,Bangladesh,Meteorological,Storm,BGD,Southern Asia,17.0,47.0,110.0,131603.0,BGD,0.0
1970,France,Hydrological,Mass movement (wet),FRA,Western Europe,72.0,47.0,10000.0,131603.0,FRA,0.0
